SampleID	YearDay	Bacteria_abundance	Projected_Daily_Insolation	Temp	MLLW	Salinity	Oxygen_Saturation	pH	DIC	Chlorophyll	NH4	NO2.NO3	PO4	SiO4
PID249	263	3237209.302	360.49	24.2	0.74	32	96.6	7.9	2055.92	9.45	672.98	0.55	0.12	20.19
PID250	270	1986554.622	343.42	24.2	1.01	28	88.1	7.94	1964.2	4.81	3583.6	0.6	0.29	36.9
PID251	277	2075409.836	325.97	20.7	0.39	29.5	99.3	8	2001.58	11.46	147.61	0.5	0.07	8.87
PID252	285	2300000	305.7	21.3	1.14	30	90.3	7.98	1982.46	6.37	473.41	0.05	0.13	3.67
PID253	291	1140410.959	290.77	22.7	0.93	32	93.8	8.04	2031.3	3.46	455.1	0.05	0.23	1.45
PID255	305	2913333.333	257.46	15.6	0.81	31	94.8	7.96	2021.82	4.57	200.13	0	0.09	4.74
PID256	312	4283076.923	242.47	15.5	0.22	26.5	100.4	7.92	1885.8	6.05	301.27	0	0.1	13.07
PID257	319	1372248.804	228.93	17.2	0.97	30	99.1	7.95	1986.48	4.07	393.9	0	0.07	6.39
PID258	326	2262711.864	217.3	17.4	-0.04	31	98.9	7.93	2027.82	5.74	222.66	0.17	0.08	4.9
PID259	333	2449586.777	207.75	17	1.15	32	99	7.98	2080.37	5.38	227.9	0.17	0.05	1.63
PID260	340	2003921.569	200.73	15	0.23	31	98	7.95	2047.77	3.56	183.72	0.02	0.07	4.08
PID261	350	2490225.564	195.29	13.6	0.9	33	100.1	7.95	2077.93	2.58	174.12	0	0.06	3.04
PID262	354	3017475.728	194.69	11.9	0.09	31	96	7.93	2028.83	2.72	159.78	0	0.09	5.11
PID263	361	1434653.465	195.91	13.2	1.41	33	96.9	7.94	2104.02	4.8	139.63	0	0.06	0.82
PID264	368	1376785.714	199.91	10	0.08	31	94.3	7.92	2096.6	3.11	73.76	0.12	0	2.83
PID265	375	1512903.226	206.67	11.4	0.8	33.5	98.1	7.92	2145.7	2.4	303.85	0.19	0	2.05
PID266	382	1784000	215.95	9.6	0.2	33	99.2	7.89	2157.37	2.38	229.76	0.1	0.01	3.58
PID267	389	1437988.827	227.53	11.4	0.84	34	98.7	7.89	2157.3	2.3	200.02	0.09	0	1.82
PID268	396	2299270.073	241.24	11.9	0.28	33	99.7	7.88	2148.57	2.09	196.96	0.1	0.06	3.41
PID269	403	1659385	256.58	11.6	0.59	34	88.9	7.89	2153.87	2.89	356.08	0.1	0.02	1.53
PID270	410	1576216.216	273.21	9.1	0.67	34	89.4	7.89	2176.9	1.86	307.67	0.07	0.01	1.4
PID271	417	2350458.716	290.84	10.4	0.69	33	93.1	7.88	2140.53	2.3	299.39	0.17	0.01	2.34
PID272	424	2344680.851	309	12.3	0.48	33	97.4	7.9	2149.3	2.55	415.06	0.05	0	1.43
PID273	431	2963636.364	327.29	11.2	0.06	32	94.2	7.87	2129.1	3.14	149.37	0	0.02	3.1
PID274	438	3071287.129	345.59	13.9	0.62	32	92.4	7.9	2102.8	2.7	98.22	0.06	0	2.03
PID275	445	3466666.667	363.24	17.7	0.36	34	94.9	7.89	2168.57	2.98	124.53	0.14	0	1.34
PID276	452	3277777.778	380.31	17.2	0.87	34	98.6	7.91	2164.6	4.21	142.88	0.24	0	1.14
PID277	459	3024000	396.43	17.8	0.33	30	89.2	7.91	2131.47	4.14	127.02	0.25	0.01	1.52
PID278	466	2751724.138	411.31	17.5	1.03	34	90.8	7.95	2108.37	3.67	144.6	0.13	0.02	1.36
PID279	473	2456692.913	425.05	19.7	0.05	33	100.3	7.91	2129.63	2.78	247	0.08	0.04	1.71
PID280	480	1772413.793	437.37	17.7	0.96	33.5	102	7.95	2157	3.34	169.5	0.06	0.13	1
PID281	487	6709090.909	448.19	21.1	-0.05	30.5	103.1	7.87	2060.23	5.65	153	0.06	0.06	8.25
PID282	494	2277464.789	457.68	21.8	1.12	34	106.8	7.95	2157.2	3.86	130	0.13	0	3.64
PID283	501	2912820.513	465.49	22.8	0.07	35	105.5	7.95	2171.93	5.09	118	0.11	0	1.26
PID284	508	5170588.235	472.05	22.3	0.94	33	102.8	7.92	2119.8	5.9	123.5	0.03	0.02	7.52
PID285	515	3416326.531	477.18	26.9	0.21	33	103.8	7.91	2125.5	7.56	234	0.06	0.06	9.46
PID290	522	2024074	480.71	24.2	1.11	32	97.2	7.91	2149.27	5.43	355.5	0.08	0.04	3.81
PID299	528	3219130.435	482.51	25	0.31	33	102.9	7.92	2167.27	5.78	218	0.06	0.04	4
PID300	535	5237288.136	483.31	24.9	0.79	32	105.4	7.91	2104.2	5.28	105.5	0.07	0.03	8.8
PID301	542	3334020.619	482.59	26.3	0.68	33	103.7	7.95	2151.13	6.66	295.5	0.38	0	4.12
PID302	549	3645569.62	480.35	27.3	0.61	33.5	108.8	7.95	2147.57	7.36	111	0	0	4.15
PID303	556	4207594.937	476.61	28.5	0.54	35	109	8	2142.53	3.94	225.5	0	0.03	3.95
PID304	563	4138235.294	471.45	29.1	0.36	33	107.2	8.01	2135.5	6.1	102	0	0	5.52
PID306	571	3711111.111	463.78	28.4	0.97	35	109.5	8.07	2109.23	6.21	104.5	0.04	0	2.51
PID309-1	578	3437837.838	455.47	28.2	0.47	34	84.9	7.95	2137.77	6.31	510	0.13	0	7.34
PID467	585	3212500	445.81	29.3	0.9	33	97.9	8.01	2108.83	5.68	78.5	0	0	4.85
PID468	592	3895652.174	435.04	28.2	0.18	34	98.4	7.98	2095.67	8.24	44	0	0.06	7.52
PID469	599	3422727.273	422.98	28.1	1.35	33	90.4	7.97	2098.67	10.36	62	0.06	0.04	3.41
PID470	607	4163265.306	407.69	26.8	0.46	29.5	82.2	7.85	1983.3	8.6	1824	0.47	0.2	14.06
PID471	614	3283464.567	393.1	27.9	1.11	32	97.6	7.98	2043.97	10.14	65.5	0	0.03	3.65
PID472	621	6349253.731	377.57	24.7	0.23	30	86	7.93	1986.9	11.84	49.5	0.06	0.09	18.86
PID473	628	3070866.142	361.1	26	1.15	33	94.7	7.99	2078.57	10.85	316	0.07	0.07	3.89
PID474	635	4327659.574	344.03	23.1	0.08	30	88.7	7.91	2048.43	4.93	91	0	0.13	9.14
PID475	642	2790209.79	326.59	25	1.04	35	95.6	7.96	2083.83	8.52	490	0.22	0.05	2.99
PID476	649	2427450.98	308.82	21.5	0.3	30	90.4	7.91	2024.2	11.64	204.5	0	0.1	11.2
PID477	656	2481987.578	291.38	21.7	1.38	35.29	97.1	8.01	2086.7	8	23	0	0.04	1.25
PID478	663	3133333.333	274.32	20.4	0.01	31.5	93.7	7.92	2091.8	6.83	49	0.23	0.09	7.11
PID481	670	1723404.255	258	16	1.28	34.17	93.6	7.95	2084.8	4.48	870.5	0	0.16	3.56
PID484	677	2895652.174	242.97	12.7	0.86	32	92.9	7.95	2014.27	5.17	96	0.05	0.06	9.95
PID485	684	3087692.308	229.37	14.4	0.9	32.82	94.9	7.95	2042.63	6.79	50	0	0.02	4.47
PID486	691	2617322.835	217.68	13	0.71	28.85	94.6	7.83	1955.4	5.8	357	0.16	0.09	11.86
PID487	698	2914285.714	208.05	12.3	0.55	30.3	97.8	7.92	1972.37	5.17	44	0	0.05	7.03
PID488	705	1707692.308	200.93	14.3	0.85	31.29	104.6	7.94	1989.4	3.45	13	0	0.05	5.05
PID489	712	2389743.59	196.44	15.1	0.42	31.46	93.9	7.89	2024.37	4.65	112	0	0.07	3.08
PID490	718	2148717.949	194.78	13.6	0.88	31.94	95.9	7.9	2036.3	4.92	59	0.04	0.06	2.65
PID491	725	1805084.746	195.48	11.7	0.48	31.84	93.9	7.89	2037.83	4.59	128	0.06	0.08	2.95
PID492	732	1549315.068	199.73	11.4	0.97	33.2	95.5	7.93	2061.93	4.58	2	0	0.03	1.61
PID493	740	2395238.095	207.56	10.8	0.12	31.6	94.3	7.9	2038.63	3.42	65.5	0.07	0.04	2.98
PID494	746	2351111.111	215.58	13.4	1.12	33.51	91.8	7.92	2089.4	2.2	24.5	0	0.02	0.9
PID495	753	2515789.474	227.08	9.1	0.2	29.69	90	7.91	1971.63	2.6	46	0	0.03	3.47
PID496	760	1344615.385	240.73	11.1	1.1	33.49	90.9	7.96	2081.1	1.83	36.5	0	0.01	0.51
PID497	767	1748344.371	256.02	10.1	0	32.75	86.9	7.9	2115.77	1.82	24.5	0	0.02	1.94
PID498	774	2433333.333	272.6	12.4	1.01	30.18	85.7	7.88	1990.33	2.95	92.5	0	0.03	3.1
PID525	783	3235714.286	295.34	9.8	0.02	28.2	89.2	7.89	1901.13	2.54	15	0.1	0.02	5.91
PID526	788	2432142.857	308.35	11.9	0.85	31.24	92.3	7.89	2001.1	2.62	55.5	0	0.04	3.18
PID527	795	3677922.078	326.64	10.9	0.11	28.34	92	7.87	1908.03	2.88	39	0	0.05	5.74
PID528	802	2694117.647	344.95	12.8	1.13	30.79	92.6	7.86	2001	1.53	109.5	0.04	0.08	3.54
PID529	809	4626086.957	362.62	13.5	0.33	27.74	88.2	7.93	1853.2	3.12	39.5	0	0.02	4.14
PID530	816	2993548.387	379.73	9.8	0.69	31.44	90.6	7.88	2014.23	2.25	27	0.03	0.04	3.33
PID531	823	3718604.651	395.89	13.6	0.18	31.88	92.5	7.88	2078.4	1.94	71.5	0	0.07	3.12
PID532	830	3555000	410.8	16.4	0.54	30.15	96.9	7.88	1980.33	4.01	14.5	0	0.03	1.8
PID533	837	4128947.368	424.6	19.5	0.44	31.58	92.7	7.87	2055.23	4.98	13	0	0.03	2.28
PID534	844	4454545.455	436.97	15.7	0.53	29.55	94.7	7.83	1952.03	8.39	33.5	0	0.03	2.76
PID535	851	4851724.138	447.84	18.4	0.63	30.97	95.3	7.86	2009	4.41	57	0	0.05	1.86
PID536	858	4561904.762	457.39	18.6	0.52	27.62	90.8	7.84	1883.2	6.56	11.5	0.04	0	3.56
PID537	865	4397142.857	465.26	19.2	0.68	30.56	93.6	7.88	2014.3	4.51	5.5	0	0.03	2.1
PID538	872	2756043.956	471.86	23.4	0.07	32.92	94.8	7.88	2079.73	4.44	50	0	0.07	2.71
PID539	879	1647337.278	477.05	23	0.83	34.78	97.7	7.94	2111.17	3.02	22	0.04	0.05	1.55
PID540	886	1939072.848	480.63	24.7	0.18	34.57	95.1	7.95	2107.43	6.8	9	0.04	0.02	1.98
PID541	893	2069620.253	482.69	25.9	0.8	34.79	96	7.94	2087.7	3.91	28	0.07	0.08	1.45
PID542	900	2565000	483.33	25.6	0	34.14	90.4	7.92	2075.43	5.26	130.5	0.03	0.1	2.92
PID544	907	2198657.718	482.45	26.5	1.08	34.88	99.9	7.98	2071.1	4.75	9	0	0.04	0.73
PID545	914	3166666.667	480.04	27	-0.03	34.28	97.4	7.96	2066.97	6.26	18.5	0	0.06	3.63
PID546	921	1569668.246	476.14	27.6	0.88	35.38	100.9	8	2078.23	2.98	7.5	0	0.01	0.78
PID547	928	4104878.049	470.81	29.4	0.19	34.54	91.7	7.97	2057.33	6.73	28.5	0	0.05	7.14
PID548	935	2589473.684	464.06	27.3	1.2	35.75	96.1	7.97	2106.87	4.36	17	0	0.06	2.3
PID549	942	4337142.857	455.79	27.5	0.17	32.35	91.9	7.89	2000.6	10.9	33.5	0.03	0.02	9.52
PID550	949	3165957.447	446.17	26.9	0.84	34.99	94.7	7.95	2099.73	5.52	29.5	0	0.03	4.52
PID551	956	3859459.459	435.45	28.3	0.48	35.41	89	7.97	2115.97	6.71	95	0.03	0.05	6.76
PID552	963	3659259.259	423.42	26.9	0.89	34.97	94.7	7.95	2106.8	5.46	53	0	0.03	5.29
PID553	970	3857142.857	410.2	25.85	0.42	34.38	93.5	7.96	2091.87	6	89	0	0.05	6.21
PID554	977	3961643.836	395.77	27.3	0.6	33.48	92.6	7.93	2059.77	7.08	155.5	0	0.07	6.39
PID555	984	4509090.909	380.37	27.6	0.8	34.08	90.05	7.95	2072.53	5.79	28.5	0	0.03	7.6
PID556	991	4829508.197	364.1	23.85	0.76	34.36	93	7.94	2101.93	8.31	75	0.07	0.04	9.39
PID560	998	4226865.672	347.08	23.3	0.89	34.22	96.45	7.96	2081.2	5.74	51	0	0.02	7.25
PID561	1005	4789473.684	329.68	22.5	0.4	32	89.2	7.93	2033.93	6.16	69	0.13	0.05	9.6
PID562	1012	3388732.394	312	22.1	1.5	32.02	92.65	7.93	2018.8	6.72	1560.5	0.25	0.11	7.92
PID563	1019	4000000	294.45	21.3	0.64	29.51	91.3	7.86	1940.23	7.19	1632.5	0.87	0.11	15.27
PID564	1026	2916831.683	277.27	21.2	1.24	32	88.4	7.95	2011.2	5.2	736	0.41	0.05	4.35
PID565	1035	5450000	256.31	18.35	0.26	31.18	89.65	7.95	1998.1	4.52	196	0	0.04	5.39
PID566	1042	2973033.708	241.43	18.4	1.36	33.29	92.3	7.98	2063.07	5.19	386.5	0.11	0.06	2.3
PID567	1049	5188235.294	227.99	12.2	0.01	28.63	88.55	7.9	1958.57	5.8	82	0.03	0.07	11.6
PID568	1056	3110344.828	216.53	14.9	1.16	32.69	90.4	7.96	2071.73	4.11	77	0.03	0.04	3.23
PID569	1063	2194444.444	207.14	14.75	0.54	32.71	92.6	7.93	2079.1	4	145.5	0.2	0.04	1.92
PID570	1070	1931092.437	200.32	13.15	1.13	33.43	89.5	7.94	2084.57	4.85	67.5	0.06	0.04	1.94
PID571	1077	2469902.913	196.12	12.5	0.32	32.22	90.25	7.89	2066.73	3.55	111	0.16	0.06	4.23
PID572	1084	2082000	194.68	12.1	0.68	32.39	91.65	7.92	2047.47	4.95	76.5	0	0.05	3.99
PID573	1091	1932283.465	196.12	12.8	0.62	32.68	90.85	7.94	2064.6	3.1	62.5	0.11	0.06	3.49
