year, month, chlorophyll (mg/m3), phytoplankton (mmol/m3)
2005, 12, 0.231859, 1.497821
2006, 1, 0.227740, 1.525818
2006, 2, 0.218535, 1.581484
2006, 3, 0.218259, 1.589277
2006, 4, 0.204128, 1.572019
2006, 5, 0.197860, 1.497877
2006, 6, 0.198481, 1.413433
2006, 7, 0.209464, 1.408798
2006, 8, 0.214974, 1.427791
2006, 9, 0.203759, 1.427597
2006, 10, 0.195529, 1.471065
2006, 11, 0.189504, 1.448642
2006, 12, 0.184791, 1.383278
2007, 1, 0.195821, 1.392001
2007, 2, 0.210013, 1.495092
2007, 3, 0.214925, 1.556721
2007, 4, 0.215997, 1.572804
2007, 5, 0.220387, 1.535652
2007, 6, 0.219035, 1.471529
2007, 7, 0.234202, 1.500351
2007, 8, 0.250437, 1.525630
2007, 9, 0.262573, 1.576557
2007, 10, 0.255347, 1.615911
2007, 11, 0.254656, 1.574243
2007, 12, 0.250128, 1.559640
2008, 1, 0.249352, 1.570694
2008, 2, 0.245515, 1.610960
2008, 3, 0.224822, 1.636775
2008, 4, 0.219004, 1.579461
2008, 5, 0.214902, 1.516382
2008, 6, 0.213592, 1.431160
2008, 7, 0.215005, 1.413628
2008, 8, 0.229635, 1.451949
2008, 9, 0.233285, 1.500947
2008, 10, 0.229591, 1.525988
2008, 11, 0.228647, 1.496549
2008, 12, 0.232724, 1.499587
2009, 1, 0.233597, 1.538537
2009, 2, 0.224502, 1.562005
2009, 3, 0.218202, 1.581848
2009, 4, 0.208649, 1.559224
2009, 5, 0.199537, 1.491841
2009, 6, 0.195962, 1.431699
2009, 7, 0.202450, 1.369085
2009, 8, 0.215546, 1.420325
2009, 9, 0.212081, 1.443290
2009, 10, 0.204547, 1.512911
2009, 11, 0.190008, 1.457396
2009, 12, 0.185792, 1.410927
2010, 1, 0.190377, 1.354270
2010, 2, 0.191481, 1.389278
2010, 3, 0.190152, 1.443495
2010, 4, 0.195320, 1.466137
2010, 5, 0.216740, 1.473096
2010, 6, 0.252189, 1.545797
2010, 7, 0.275989, 1.610717
2010, 8, 0.266589, 1.611274
2010, 9, 0.253304, 1.625154
2010, 10, 0.265815, 1.642573
2010, 11, 0.257589, 1.628665
2010, 12, 0.259424, 1.583364
2011, 1, 0.242376, 1.583477
2011, 2, 0.225591, 1.577723
2011, 3, 0.216793, 1.529197
2011, 4, 0.207928, 1.517361
2011, 5, 0.204826, 1.469904
2011, 6, 0.206034, 1.396730
2011, 7, 0.220648, 1.393907
2011, 8, 0.236777, 1.455028
2011, 9, 0.238363, 1.502431
2011, 10, 0.231274, 1.539082
2011, 11, 0.239477, 1.515017
2011, 12, 0.235480, 1.517152
2012, 1, 0.227511, 1.526371
2012, 2, 0.224108, 1.600875
2012, 3, 0.222677, 1.552644
2012, 4, 0.219118, 1.553997
2012, 5, 0.208280, 1.464444
2012, 6, 0.202317, 1.444328
2012, 7, 0.206411, 1.374086
2012, 8, 0.212782, 1.408639
2012, 9, 0.215156, 1.421295
2012, 10, 0.210045, 1.499028
2012, 11, 0.206891, 1.441349
2012, 12, 0.211704, 1.427582
2013, 1, 0.218939, 1.467703
2013, 2, 0.214055, 1.516369
2013, 3, 0.206635, 1.551496
2013, 4, 0.207451, 1.549096
2013, 5, 0.216515, 1.517607
2013, 6, 0.222856, 1.469478
2013, 7, 0.232142, 1.471352
2013, 8, 0.233728, 1.473802
2013, 9, 0.222586, 1.489732
2013, 10, 0.218417, 1.514255
2013, 11, 0.208519, 1.486223
2013, 12, 0.203418, 1.434191
2014, 1, 0.207504, 1.445366
2014, 2, 0.210921, 1.500645
2014, 3, 0.199862, 1.505171
2014, 4, 0.185208, 1.478554
2014, 5, 0.177309, 1.430070
2014, 6, 0.182347, 1.349401
2014, 7, 0.206216, 1.374039
2014, 8, 0.213555, 1.446204
2014, 9, 0.204089, 1.464557
2014, 10, 0.202811, 1.475107
2014, 11, 0.196816, 1.481248
2014, 12, 0.194741, 1.426670
2015, 1, 0.196403, 1.452546
2015, 2, 0.193055, 1.479256
2015, 3, 0.189264, 1.473712
2015, 4, 0.176465, 1.482810
2015, 5, 0.165003, 1.410823
2015, 6, 0.156430, 1.320092
2015, 7, 0.154349, 1.296350
2015, 8, 0.151272, 1.296347
2015, 9, 0.147030, 1.327440
2015, 10, 0.143084, 1.339850
2015, 11, 0.134360, 1.309858
2015, 12, 0.138971, 1.288861
2016, 1, 0.144966, 1.306318
2016, 2, 0.150200, 1.339496
2016, 3, 0.162422, 1.436394
2016, 4, 0.174301, 1.512832
2016, 5, 0.206247, 1.567107
2016, 6, 0.255737, 1.699453
2016, 7, 0.268416, 1.691877
2016, 8, 0.258705, 1.619290
2016, 9, 0.249756, 1.629064
2016, 10, 0.241145, 1.612857
2016, 11, 0.231669, 1.593525
2016, 12, 0.221137, 1.537026
2017, 1, 0.217077, 1.525209
2017, 2, 0.201649, 1.570219
2017, 3, 0.194952, 1.555200
2017, 4, 0.191409, 1.554328
2017, 5, 0.186787, 1.502297
2017, 6, 0.190097, 1.431553
2017, 7, 0.202747, 1.404247
2017, 8, 0.226923, 1.477170
2017, 9, 0.235571, 1.532108
2017, 10, 0.231542, 1.565531
2017, 11, 0.238670, 1.542734
2017, 12, 0.244853, 1.563671
2018, 1, 0.231443, 1.524324
2018, 2, 0.217646, 1.534601
2018, 3, 0.214677, 1.549243
2018, 4, 0.203344, 1.535818
2018, 5, 0.195617, 1.465428
2018, 6, 0.189482, 1.410177
2018, 7, 0.195091, 1.371734
2018, 8, 0.212010, 1.430172
2018, 9, 0.210263, 1.460838
2018, 10, 0.196131, 1.485317
2018, 11, 0.191746, 1.432114
2018, 12, 0.193457, 1.413725
2019, 1, 0.196399, 1.487452
2019, 2, 0.193592, 1.542200
2019, 3, 0.186513, 1.563024
2019, 4, 0.184672, 1.535258
2019, 5, 0.185005, 1.530374
2019, 6, 0.190500, 1.449260
2019, 7, 0.195671, 1.479084
2019, 8, 0.212419, 1.494647
2019, 9, 0.214940, 1.585760
2019, 10, 0.201886, 1.570503
2019, 11, 0.195713, 1.532236
2019, 12, 0.199000, 1.499432
2020, 1, 0.199000, 1.499432
2020, 2, 0.199738, 1.490974
2020, 3, 0.200250, 1.509798
2020, 4, 0.195421, 1.558526
2020, 5, 0.192291, 1.570630
2020, 6, 0.207365, 1.523748
2020, 7, 0.220545, 1.559311
2020, 8, 0.225745, 1.537796
2020, 9, 0.238574, 1.571954
2020, 10, 0.247897, 1.617672
2020, 11, 0.262238, 1.651345
2020, 12, 0.246802, 1.642037
