,Dates,Chlorophyll-a (μg/L),Salinity (psu),Temperature (°C),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Turbidity (NTU),Dissolved Oxygen (mg/L)
118,2002-01-15,2.9,29.7,18.0,0.78,0.06,29.9,7.6
119,2002-02-20,1.1,31.2,18.5,0.5,0.03,22.7,7.5
120,2002-03-06,<0.2,31.7,20.1,0.31,0.03,48.1,7.0
121,2002-04-10,2.8,30.6,23.3,0.46,0.03,7.1,7.0
122,2002-05-03,0.6,30.6,25.9,0.43,0.04,19.2,5.3
123,2002-06-05,2.3,30.0,27.4,0.41,0.03,14.9,6.0
124,2002-07-04,1.3,30.5,24.7,0.38,0.03,12.3,3.3
125,2002-08-01,2.1,28.7,24.5,0.62,0.08,29.3,3.2
126,2002-09-06,3.2,30.0,24.9,0.42,0.04,10.3,3.3
127,2002-10-02,1.1,30.6,26.4,0.44,0.05,23.0,5.1
128,2002-11-20,1.5,32.2,22.7,0.35,0.04,18.0,6.7
129,2002-12-11,2,32.5,20.4,0.38,0.04,26.2,7.7
130,2003-01-17,1.6,32.1,17.1,0.39,0.04,10.9,7.4
131,2003-02-06,11,31.5,17.0,0.22,0.02,,8.4
132,2003-03-10,2,32.5,18.8,0.3,0.02,10.0,6.5
133,2003-04-01,0.6,31.0,20.9,0.6,0.06,22.4,6.2
134,2003-05-09,0.8,31.0,25.6,0.45,0.04,15.4,5.2
135,2003-06-23,0.4,27.2,26.8,0.79,0.05,11.0,3.5
136,2003-07-17,1.4,31.2,24.4,0.47,0.05,24.3,2.5
137,2003-08-11,4.9,31.2,26.2,0.54,0.05,9.8,3.0
138,2003-09-19,0.5,28.9,28.0,0.69,0.05,11.8,4.3
139,2003-10-27,1.7,32.1,25.9,0.35,0.04,16.8,5.9
140,2003-11-20,0.7,32.3,24.0,0.45,0.06,24.2,5.7
141,2003-12-12,2.4,33.6,20.8,0.36,0.06,32.0,6.3
142,2004-01-26,1.9,33.4,15.6,0.28,0.04,20.2,7.0
143,2004-02-05,1.1,33.3,15.8,0.39,0.05,16.5,6.8
144,2004-03-15,0.6,32.8,20.4,0.57,0.05,6.0,7.4
145,2004-04-02,0.9,33.1,19.8,0.49,0.05,13.4,5.7
146,2004-05-03,3.7,30.1,24.3,0.55,0.04,16.8,7.8
147,2004-06-02,1.2,30.4,27.3,0.5,0.04,19.1,4.7
148,2004-07-07,1,27.5,27.1,1.02,0.06,17.1,5.0
149,2004-08-19,5.4,30.2,26.2,0.43,0.06,33.8,3.6
150,2004-09-20,0.9,29.9,27.6,0.56,0.07,29.0,4.1
151,2004-10-13,1.4,32.4,27.2,0.37,0.04,17.5,5.1
152,2004-11-11,3.7,31.3,25.0,0.59,0.06,18.7,6.3
153,2004-12-10,0.6,33.2,21.0,0.37,0.04,13.5,4.6
154,2005-01-17,1,32.9,16.3,0.35,0.04,17.0,6.9
155,2005-02-25,1,32.1,16.2,0.41,0.04,12.9,6.7
156,2005-03-14,0.4,31.9,16.1,0.54,0.05,20.4,6.9
157,2005-04-20,9,31.5,21.7,0.62,0.03,10.2,6.9
158,2005-05-20,1,32.3,23.7,0.47,0.03,15.8,3.5
159,2005-06-08,0.7,28.3,26.7,0.6,0.04,16.3,4.6
160,2005-07-08,1.7,30.9,23.9,0.49,0.04,16.1,3.2
161,2005-08-05,4.1,29.7,26.1,0.56,0.03,4.9,5.1
162,2005-09-29,1.3,31.7,27.9,0.42,0.05,11.9,7.1
163,2005-10-20,1.7,31.5,27.5,0.49,0.06,30.7,5.9
164,2005-11-23,2.4,33.1,22.9,0.3,0.03,22.0,7.0
165,2005-12-10,1.4,33.1,20.8,0.39,0.05,16.1,7.2
166,2006-01-06,1.7,32.6,18.2,0.47,0.05,23.8,7.3
167,2006-02-17,1.2,31.2,19.0,0.76,0.07,22.8,7.8
168,2006-03-08,1.3,31.9,17.6,0.58,0.05,14.9,7.4
169,2006-04-25,1.6,30.7,23.6,0.62,0.04,11.4,8.0
170,2006-05-22,1.2,30.4,25.3,0.54,0.04,11.2,5.1
171,2006-06-19,1.1,29.8,25.9,0.52,0.04,11.7,3.8
172,2006-07-10,6.5,31.3,25.1,0.44,0.04,55.4,3.3
173,2006-08-07,0.9,27.3,25.8,0.64,0.06,29.8,4.8
174,2006-09-25,5.4,30.7,26.6,0.41,0.04,21.5,6.3
175,2006-10-23,2.6,29.7,27.5,1.33,0.06,34.4,5.2
176,2006-11-20,3.8,31.3,24.8,0.56,0.05,13.9,7.7
177,2006-12-15,1.5,33.1,21.9,0.32,0.04,13.3,6.5
178,2007-01-22,5.8,33.1,17.9,0.37,0.04,19.6,7.0
179,2007-02-05,22,32.5,17.3,0.41,0.04,10.4,9.7
180,2007-03-08,0.9,31.8,19.7,0.65,0.06,14.3,6.4
181,2007-04-16,8.5,30.9,22.4,0.64,0.04,12.6,7.2
182,2007-05-09,1.7,31.0,24.2,0.61,0.04,15.2,5.5
183,2007-06-18,1.2,30.9,24.3,0.61,0.05,21.4,2.7
184,2007-07-25,1.3,33.2,23.7,0.33,0.04,19.8,2.5
185,2007-08-27,2.9,31.1,24.3,0.55,0.04,20.7,3.1
186,2007-09-12,2.7,29.9,26.2,0.67,0.05,17.8,4.6
187,2007-10-04,0.8,31.2,27.9,0.54,0.09,23.2,4.9
188,2007-11-12,4.3,33.0,23.6,0.35,0.05,4.1,6.2
189,2007-12-05,1,32.1,20.4,0.49,0.06,11.1,6.4
190,2008-01-28,1.2,32.1,17.2,0.49,0.05,11.3,6.6
191,2008-02-27,1.1,31.1,15.2,0.62,0.05,13.9,8.2
192,2008-03-14,1.9,30.4,18.0,0.69,0.05,12.3,8.6
193,2008-04-17,1.4,30.9,22.6,0.6,0.05,15.1,6.2
194,2008-05-23,1.3,30.6,25.1,0.58,0.04,13.8,5.5
195,2008-06-13,0.4,30.1,26.0,0.78,0.05,17.1,3.6
196,2008-07-09,1.2,29.5,25.0,0.54,0.06,18.8,3.1
197,2008-08-07,2.9,28.4,25.2,0.52,0.05,14.8,5.6
198,2008-09-18,2.5,28.3,27.6,0.64,0.05,17.6,3.7
199,2008-10-10,1.5,30.4,27.2,0.52,0.05,6.9,4.8
200,2008-11-10,0.7,32.0,25.7,0.32,0.03,6.9,5.8
201,2008-12-12,5.5,32.7,20.5,0.29,0.03,5.2,7.3
202,2009-01-10,2.4,33.2,18.0,0.36,0.03,13.3,6.8
203,2009-02-05,1,32.3,17.0,0.55,0.06,16.0,5.9
204,2009-03-12,1.1,32.5,19.4,0.47,0.06,52.2,6.3
205,2009-04-03,1.8,31.6,20.9,0.56,0.05,7.6,4.7
206,2009-05-14,1.6,28.8,25.2,0.54,0.04,7.6,5.2
207,2009-06-10,0.8,26.5,27.1,0.68,0.04,5.3,4.3
208,2009-07-15,1,25.9,27.0,0.67,0.04,11.8,3.7
209,2009-08-06,2,27.1,27.3,0.61,0.04,12.8,4.0
210,2009-09-09,10,28.0,29.5,0.5,0.05,14.8,5.6
211,2009-10-09,1.6,31.4,28.7,0.47,0.05,24.2,5.1
212,2009-11-06,9.6,32.5,24.9,0.36,0.03,8.6,7.1
213,2009-12-02,2.5,32.9,21.7,0.35,0.04,9.2,6.6
214,2010-01-14,0.9,32.1,17.2,0.42,0.04,7.1,7.3
215,2010-02-18,0.9,32.1,16.7,0.36,0.03,4.6,7.3
216,2010-03-17,0.5,32.7,19.4,0.39,0.03,9.9,6.9
217,2010-04-14,0.4,32.3,21.2,0.5,0.05,6.7,6.6
218,2010-05-07,12,30.2,22.8,0.64,0.06,1.4,7.6
219,2010-06-03,0.9,28.9,25.7,0.59,0.03,5.1,4.5
220,2010-07-23,3.3,29.3,25.9,0.51,0.05,13.4,3.6
221,2010-08-05,2.7,31.6,25.3,0.51,0.04,8.3,2.4
222,2010-09-17,3.7,30.5,26.0,0.58,0.04,4.2,2.4
223,2010-10-07,0.6,29.6,26.9,0.51,0.05,15.2,5.1
224,2010-11-17,4.5,31.6,23.1,0.53,0.04,3.9,6.1
225,2010-12-04,4.9,31.3,22.3,0.49,0.05,17.6,6.9
226,2011-01-10,0.7,33.0,17.3,0.39,0.05,7.4,6.7
227,2011-02-16,3.4,31.9,15.5,0.48,0.05,3.9,7.1
228,2011-03-11,0.7,30.9,17.0,0.53,0.05,3.6,6.9
229,2011-04-04,7.7,31.6,19.4,0.55,0.04,1.2,7.4
230,2011-05-23,1.1,30.2,25.5,0.65,0.05,28.3,4.9
231,2011-06-20,2.5,27.0,26.6,0.82,0.09,16.9,4.2
232,2011-07-18,0.9,29.8,24.8,0.63,0.06,18.7,2.8
233,2011-08-15,3.1,28.9,26.4,0.73,0.04,4.2,3.4
234,2011-09-28,0.5,32.6,27.8,0.32,0.04,6.7,5.2
235,2011-10-26,3.4,31.7,26.1,0.41,0.04,7.3,6.8
236,2011-11-16,1,31.6,24.7,0.53,0.05,6.6,5.9
237,2011-12-12,0.4,32.1,19.3,0.36,0.04,6.7,7.0
238,2012-01-05,2,31.5,17.8,0.69,0.05,1.6,6.9
239,2012-02-03,1,31.3,16.2,0.5,0.05,1.9,7.5
240,2012-03-19,0.9,29.7,17.7,0.88,0.06,2.8,7.1
241,2012-04-25,0.3,26.2,23.3,0.92,0.06,4.0,7.1
242,2012-05-21,0.2,27.8,25.7,0.72,0.04,6.1,5.1
243,2012-06-21,0.4,27.4,28.2,0.68,0.04,6.5,5.8
244,2012-07-13,1.5,27.1,26.6,1.02,0.05,6.3,3.4
245,2012-08-16,2.4,29.8,26.7,0.48,0.03,3.4,3.6
246,2012-09-13,4.1,28.9,28.3,0.73,0.05,5.9,4.1
247,2012-10-15,1.4,30.7,27.5,0.54,0.03,8.8,6.1
248,2012-11-08,0.3,31.3,25.1,0.56,0.05,5.2,5.8
249,2012-12-05,1.1,31.6,21.6,0.55,0.05,8.5,6.4
250,2013-01-14,5.1,32.8,17.7,0.35,0.04,11.2,7.6
251,2013-02-25,17,31.1,18.9,0.4,0.02,2.2,9.0
252,2013-03-20,1.5,30.1,20.6,0.93,0.04,3.7,6.4
253,2013-04-08,0.4,31.1,20.1,0.54,0.03,2.8,6.5
254,2013-05-06,0.5,30.8,22.2,0.59,0.04,7.7,5.9
255,2013-06-03,1.5,30.3,24.6,0.39,0.03,4.2,4.0
256,2013-07-08,1,27.7,26.2,0.59,0.03,5.6,3.4
257,2013-08-16,0.5,21.7,28.4,1.18,0.07,5.2,4.7
258,2013-09-06,0.8,28.4,25.1,0.64,0.05,8.1,3.2
259,2013-10-21,1.8,29.8,27.0,0.53,0.05,11.9,5.7
260,2013-11-11,0.6,30.5,25.2,0.48,0.05,8.5,5.9
261,2013-12-05,2,32.0,20.8,0.43,0.04,10.0,6.6
262,2014-01-06,0.6,31.4,17.3,0.65,0.06,27.7,6.9
263,2014-02-06,5.4,30.1,18.4,0.69,0.03,1.3,9.9
264,2014-03-21,0.5,31.3,18.1,0.74,0.05,6.8,6.8
265,2014-04-23,0.3,30.6,22.9,0.69,0.03,2.0,6.6
266,2014-05-07,0.5,31.2,23.7,0.54,0.03,2.2,6.0
267,2014-06-05,1.8,29.3,25.6,0.63,0.03,2.8,3.7
268,2014-07-04,2.8,29.3,26.5,1.03,0.04,11.1,2.9
269,2014-08-15,0.8,26.7,26.8,1.08,0.06,12.8,3.5
270,2014-09-01,1.3,27.4,27.3,0.79,0.05,11.4,4.0
271,2014-10-08,1,30.6,28.9,0.49,0.04,5.6,5.0
272,2014-11-06,1.7,31.7,25.9,0.48,0.04,5.9,5.7
273,2014-12-17,10,32.4,19.5,0.31,<0.02,2.2,7.6
274,2015-01-12,0.8,31.3,17.9,0.51,0.04,7.8,7.0
275,2015-02-09,2.7,30.7,16.9,0.72,0.04,3.4,7.4
276,2015-03-11,<0.2,30.7,18.9,0.78,0.05,7.7,6.8
277,2015-04-20,1.3,29.9,23.3,0.63,0.03,5.5,6.2
278,2015-05-07,1.1,28.6,25.3,0.81,0.05,7.3,5.1
279,2015-06-10,1,27.5,26.0,0.89,0.08,17.3,3.4
280,2015-07-03,3.6,28.6,25.5,0.98,0.06,8.1,3.0
281,2015-08-19,1.7,28.4,25.8,0.71,0.06,7.8,3.8
282,2015-09-16,0.8,29.0,27.1,1.19,0.09,23.8,4.9
283,2015-10-12,0.8,31.3,27.5,1.0,0.05,7.4,5.2
284,2015-11-11,1.5,30.7,26.5,0.65,0.06,9.6,5.5
285,2015-12-02,1.4,28.7,23.9,0.58,0.07,14.3,6.0
286,2016-01-13,3.3,29.7,19.6,1.03,0.05,2.6,7.2
287,2016-02-01,0.7,29.0,16.1,0.83,0.08,4.9,7.2
288,2016-03-02,1,29.4,16.3,0.68,0.07,2.4,8.1
289,2016-04-25,0.7,27.7,21.3,0.7,0.08,13.3,5.8
290,2016-05-13,0.6,26.2,24.3,0.61,0.16,250.7,4.8
291,2016-06-20,3.2,15.5,28.0,0.86,0.14,5.6,4.1
292,2016-07-14,0.8,21.9,26.9,1.5,0.07,4.0,3.5
293,2016-08-01,8.2,31.2,24.1,1.21,0.07,5.3,3.0
294,2016-09-02,1.4,26.8,27.7,0.96,0.12,7.8,3.9
295,2016-10-07,3.2,29.6,28.6,0.44,0.07,7.0,5.3
296,2016-11-07,1.3,30.0,26.1,0.87,0.08,15.2,5.9
297,2016-12-07,1.8,30.7,22.5,0.83,0.06,8.4,6.1
298,2017-01-04,3.5,29.5,20.3,0.65,0.06,2.8,8.2
299,2017-02-06,1.6,29.6,19.3,0.63,0.06,5.6,6.5
300,2017-03-01,1.9,30.5,17.5,1.04,0.05,9.6,7.1
301,2017-04-03,0.6,28.7,20.3,0.9,0.05,4.7,7.0
302,2017-05-08,1.1,29.0,24.7,0.86,0.03,3.9,5.6
303,2017-06-19,0.4,31.1,25.8,0.59,0.05,5.1,2.2
304,2017-07-06,1.1,30.2,24.9,1.56,0.07,4.0,2.2
305,2017-08-14,2.1,21.1,28.9,0.99,0.08,5.1,5.0
306,2017-09-06,0.9,26.3,27.2,0.77,0.17,6.8,4.5
307,2017-10-11,0.8,27.4,29.7,1.14,0.05,8.9,5.2
308,2017-11-08,1.6,32.5,24.9,0.96,0.05,13.9,5.9
309,2017-12-15,0.9,32.9,20.8,1.04,0.04,11.2,6.5
310,2018-01-11,0.7,32.0,17.3,0.39,0.04,6.5,7.3
311,2018-02-23,2.1,31.1,16.9,0.7,0.03,8.0,7.7
312,2018-03-08,1.7,31.0,19.0,0.69,0.04,7.6,7.2
313,2018-04-12,0.9,31.3,22.7,0.52,0.03,3.3,6.0
314,2018-05-10,1.8,30.8,25.2,0.54,0.03,1.7,5.7
315,2018-06-06,1.6,28.9,27.5,0.61,0.03,3.4,4.4
316,2018-07-11,8.6,29.9,25.6,0.67,0.06,13.7,3.2
317,2018-08-15,0.4,25.1,28.5,0.89,0.05,10.1,4.7
318,2018-09-06,1.1,31.7,24.6,0.52,0.03,5.7,2.9
319,2018-10-15,0.3,29.3,26.7,0.65,0.04,10.8,6.1
320,2018-11-08,7.3,31.7,25.1,0.46,0.03,5.7,6.9
321,2018-12-06,0.8,30.7,23.6,0.66,0.05,10.3,5.6
322,2019-01-23,2.4,31.2,18.6,1.22,0.04,5.9,7.0
323,2019-02-22,2.8,29.2,20.9,0.83,0.03,2.4,7.2
324,2019-03-04,25,30.1,20.6,0.8,0.03,0.8,8.1
325,2019-04-03,0.7,31.0,22.3,0.55,0.03,1.7,6.0
326,2019-05-15,2,29.7,24.5,0.55,0.03,3.8,6.0
327,2019-06-20,2,27.0,27.2,1.2,0.05,10.7,3.9
328,2019-07-03,5.6,23.2,30.7,0.57,0.03,12.1,3.1
329,2019-08-17,2.4,29.2,27.2,0.61,0.05,7.3,3.5
330,2019-09-04,0.4,25.1,27.6,0.85,0.07,12.2,4.8
331,2019-10-11,2.8,30.1,29.2,0.94,0.05,7.8,4.6
332,2019-11-11,4.8,32.5,25.4,0.48,0.05,5.9,7.1
333,2019-12-13,1.6,33.1,19.9,0.39,0.09,15.9,6.8
